index|id|title|rank
155|22135|Ping Pong the Animation|156
156|7791|K-On!!|157
157|223|Dragon Ball|158
158|6|Trigun|159
159|1482|D.Gray-man|160
160|38680|Fruits Basket 1st Season|161
161|11843|Danshi Koukousei no Nichijou|162
162|14713|Kamisama Hajimemashita|163
163|35839|Sora yori mo Tooi Basho|164
164|235|Detective Conan|165
165|36456|Boku no Hero Academia 3rd Season|166
166|7311|Suzumiya Haruhi no Shoushitsu|167
167|39547|Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan|168
168|26243|Owari no Seraph|169
169|41457|86|170
170|38101|5-toubun no Hanayome|171
171|40356|Tate no Yuusha no Nariagari Season 2|172
172|790|Ergo Proxy|173
173|22789|Barakamon|174
174|17895|Golden Time|175
175|232|Cardcaptor Sakura|176
176|40456|Kimetsu no Yaiba Movie: Mugen Ressha-hen|177
177|41025|Fumetsu no Anata e|178
178|6045|Kimi ni Todoke|179
179|47|Akira|180
180|35557|Houseki no Kuni (TV)|181
181|22043|Fairy Tail (2014)|182
182|44511|Chainsaw Man|183
183|18153|Kyoukai no Kanata|184
184|32937|Kono Subarashii Sekai ni Shukufuku wo! 2|185
185|43|Koukaku Kidoutai|186
186|42923|SK∞|187
187|1887|Lucky☆Star|188
188|42203|Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2|189
189|30503|Noragami Aragoto|190
190|28121|Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka|191
191|27775|Plastic Memories|192
192|39587|Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season|193
193|48926|Komi-san wa, Comyushou desu.|194
194|15809|Hataraku Maou-sama!|195
195|32615|Youjo Senki|196
196|38826|Tenki no Ko|197
197|39783|5-toubun no Hanayome ∬|198
198|30484|Steins;Gate 0|199
199|12355|Ookami Kodomo no Ame to Yuki|200
200|20785|Mahouka Koukou no Rettousei|201
201|18897|Nisekoi|202
202|6594|Katanagatari|203
203|23289|Gekkan Shoujo Nozaki-kun|204
204|1689|Byousoku 5 Centimeter|205
205|39534|Jibaku Shounen Hanako-kun|206
206|35062|Mahoutsukai no Yome|207
207|27899|Tokyo Ghoul √A|208
208|35968|Wotaku ni Koi wa Muzukashii|209
209|17265|Log Horizon|210
210|40834|Ousama Ranking|211
211|41587|Boku no Hero Academia 5th Season|212
212|34933|Kakegurui|213
213|136|Hunter x Hunter|214
214|185|Initial D First Stage|215
215|41487|Tensei shitara Slime Datta Ken 2nd Season Part 2|216
216|39551|Tensei shitara Slime Datta Ken 2nd Season|217
217|10408|Hotarubi no Mori e|218
218|45|Rurouni Kenshin: Meiji Kenkaku Romantan|219
219|8074|Highschool of the Dead|220
220|34798|Yuru Camp△|221
221|48569|86 Part 2|222
222|21995|Ao Haru Ride|223
223|16067|Nagi no Asu kara|224
224|18507|Free!|225
225|38329|Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai|226
226|530|Bishoujo Senshi Sailor Moon|227
227|3002|Gyakkyou Burai Kaiji: Ultimate Survivor|228
228|30015|ReLIFE|229
229|2034|Lovely★Complex|230
230|7674|Bakuman.|231
231|15583|Date A Live|232
232|30694|Dragon Ball Super|233
233|21881|Sword Art Online II|234
234|39195|Beastars|235
235|46095|Vivy: Fluorite Eye's Song|236
236|41389|Tonikaku Kawaii|237
237|120|Fruits Basket|238
238|237|Koukyoushihen Eureka Seven|239
239|40010|Ishuzoku Reviewers|240
240|28701|Fate/stay night: Unlimited Blade Works 2nd Season|241
241|40052|Great Pretender|242
242|14513|Magi: The Labyrinth of Magic|243
243|43299|Wonder Egg Priority|244
244|42361|Ijiranaide, Nagatoro-san|245
245|30296|Rakudai Kishi no Cavalry|246
246|467|Koukaku Kidoutai: Stand Alone Complex|247
247|35247|Owarimonogatari 2nd Season|248
248|38408|Boku no Hero Academia 4th Season|249
249|6114|Rainbow: Nisha Rokubou no Shichinin|250
250|16592|Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation|251
251|1818|Claymore|252
252|11981|Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari|253
253|38671|Enen no Shouboutai|254
254|15051|Love Live! School Idol Project|255
255|40839|Kanojo, Okarishimasu|256
256|8425|Gosick|257
257|57|Beck|258
258|7724|Shiki|259
259|11887|Kokoro Connect|260
260|1195|Zero no Tsukaima|261
261|18115|Magi: The Kingdom of Magic|262
262|34822|Tsuki ga Kirei|263
263|10800|Chihayafuru|264
264|523|Tonari no Totoro|265
265|33674|No Game No Life: Zero|266
266|44074|Shiguang Dailiren|267
267|440|Shoujo Kakumei Utena|268
268|9969|Gintama'|269
269|3457|Vampire Knight|270
270|24439|Kekkai Sensen|271
271|32998|91 Days|272
272|10161|No.6|273
273|2246|Mononoke|274
274|10721|Mawaru Penguindrum|275
275|356|Fate/stay night|276
276|1889|Higurashi no Naku Koro ni Kai|277
277|38668|Dorohedoro|278
278|37987|Violet Evergarden Movie|279
279|33050|Fate/stay night Movie: Heaven's Feel - III. Spring Song|280
280|33489|Little Witch Academia (TV)|281
281|48561|Jujutsu Kaisen 0 Movie|282
282|578|Hotaru no Haka|283
283|31758|Kizumonogatari III: Reiketsu-hen|284
284|30123|Akagami no Shirayuki-hime|285
285|387|Haibane Renmei|286
286|36474|Sword Art Online: Alicization|287
287|40852|Dr. Stone: Stone Wars|288
288|30240|Prison School|289
289|34566|Boruto: Naruto Next Generations|290
290|12531|Sakamichi no Apollon|291
291|46102|Odd Taxi|292
292|27989|Hibike! Euphonium|293
293|14467|K|294
294|48661|JoJo no Kimyou na Bouken Part 6: Stone Ocean|295
295|16782|Kotonoha no Niwa|296
296|14075|Zetsuen no Tempest|297
297|6880|Deadman Wonderland|298
298|35851|Sayonara no Asa ni Yakusoku no Hana wo Kazarou|299
299|32729|Orange|300
